ip,port,anonymityLevel,asn,country,isp,latency,org,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"173.244.200.154","44302","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","socks4","69","163","2021-06-29T13:01:16.017Z","100","43","43"
"173.244.200.156","64631","elite","AS32780","US","Hosting Services, Inc.","76","Hosting Services, Inc.","socks4","51","157","2021-06-29T13:00:18.742Z","100","29","29"
"41.60.233.192","8080","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","201","Liquid Telecommunications Operations Limited","socks4","2916","101","2023-10-15T17:03:18.650Z","84","3609","4304"
"181.3.75.194","1080","elite","AS7303","AR","Telecom Argentina S.A.","879","Telecom Personal Bs","socks5","5088","94","2023-10-15T18:02:25.734Z","40","1753","4331"
"95.140.124.217","1080","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd, Gandijeva 76a","35","Orion Telekom Network","socks4","5003","94","2023-10-15T16:32:56.942Z","100","4335","4336"
"65.169.38.73","26592","elite","AS20081","US","NET2ATLANTA.COM LLC","186","Sprint","socks4","4997","91","2023-10-15T18:14:42.048Z","68","2945","4344"
"188.26.5.254","4145","elite","AS8708","RO","RCS & RDS","45","RCS & RDS Business","socks4","4995","91","2023-10-15T18:29:10.188Z","85","3783","4425"
"67.197.244.98","17557","elite","AS14615","US","Comporium, Inc","104","Comporium, Inc","socks4","4895","91","2023-10-15T17:14:53.348Z","99","4333","4355"
"88.87.72.134","39435","elite","AS39435","RU","CJSC \"ER-Telecom Holding\" Volgograd branch","89","JSC \"ER-Telecom Holding\" Volgograd Branch","socks5","2906","91","2023-10-15T18:46:33.990Z","87","3772","4325"
"200.58.181.218","4153","elite","AS25620","BO","Cotas Ltda.","210","Universidad Autonoma Gabriel Rene Moreno","socks4","5009","91","2023-10-15T18:21:05.744Z","81","3524","4354"
"64.227.104.2","13166","elite","AS14061","US","DigitalOcean, LLC","198","DigitalOcean, LLC","socks4","5254","90","2023-10-15T17:28:37.377Z","58","2535","4342"
"91.106.90.134","4145","elite","AS56503","IR","PJSC \"Badr Rayan Jonoob\"","178","Kimianet Bandar","socks4","2301","89","2023-10-15T17:51:12.652Z","97","4204","4343"
"109.73.181.155","4145","elite","AS49924","IT","ECROM-MAIN","69","N/A","socks4","2282","88","2023-10-15T17:20:57.745Z","40","1672","4229"
"185.170.233.102","47574","elite","AS206912","CY","Superdach LTD","78","Infra","socks4","4396","88","2023-10-15T18:13:37.745Z","100","4423","4426"
"197.234.13.97","4145","elite","AS36902","SC","Intelvision","206","Intelvision Ltd","socks4","4900","88","2023-10-15T18:38:36.743Z","100","4368","4385"
"104.251.81.87","14778","elite","AS11325","US","Altus Communications Inc.","96","BraveWay","socks5","4501","87","2023-10-15T18:48:48.840Z","100","4321","4323"
"103.79.96.225","4153","elite","AS64308","ID","PT IndoDev Niaga Internet","187","PT IndoDev Niaga Internet","socks4","5204","87","2023-10-15T17:07:13.241Z","100","4384","4394"
"138.219.223.166","5678","elite","AS263963","BR","Goldweb Barretos serviços de Telecomunicações Ltda","206","Goldweb Barretos serviços de Telecomunicações Ltda","socks4","4304","87","2023-10-15T18:19:27.636Z","99","4336","4398"
"103.79.96.189","4153","elite","AS64308","ID","PT IndoDev Niaga Internet","195","PT IndoDev Niaga Internet","socks4","4389","87","2023-10-15T18:21:10.075Z","100","4386","4394"
"61.7.138.52","5678","elite","AS131090","TH","CAT Telecom Public Company Limited","280","National Telecom Public Company Limited","socks4","5005","87","2023-10-15T17:29:52.134Z","76","3354","4423"
"43.135.161.203","443","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","socks4","4401","87","2023-10-15T18:23:40.346Z","77","3350","4340"
"216.80.120.100","3820","elite","AS6079","US","RCN","106","RCN Corporation","socks5","4986","87","2023-10-15T18:00:11.932Z","99","4363","4395"
"104.23.107.172","80","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","socks5","4897","86","2023-10-15T18:40:09.491Z","100","4341","4341"
"177.23.184.166","52935","elite","AS52935","BR","Infobarra Solucoes em Informatica Ltda","219","Infobarra Solucoes em Informatica Ltda","socks5","4996","86","2023-10-15T18:28:09.839Z","99","4362","4419"
"36.94.234.177","5678","elite","AS7713","ID","PT. Telekomunikasi Indonesia","233","Telekomunikasi Indonesia","socks4","4506","86","2023-10-15T18:06:43.643Z","99","4329","4358"
"197.234.13.66","4145","elite","AS36902","SC","Intelvision","198","Intelvision Ltd","socks4","2211","86","2023-10-15T18:40:22.191Z","100","4316","4332"
"186.211.6.137","4145","elite","AS53156","BR","PortalSAT Telecom","191","eliziane oliveira sobrinho","socks4","596","86","2023-10-15T18:34:08.047Z","99","4307","4370"
"200.33.152.253","4153","elite","AS268976","BR","Weclix Telecom S/A","226","Weclix Telecom S/A","socks4","4986","86","2023-10-15T18:06:17.135Z","96","4209","4390"
"203.30.190.57","80","elite","AS209242","BZ","Cloudflare London, LLC","12","Umpire Associates LTD","socks4","4606","86","2023-10-15T17:37:19.280Z","100","4351","4351"
"71.163.238.129","1236","elite","AS701","US","Verizon Business","82","Verizon Business","socks4","4991","86","2023-10-15T18:40:50.137Z","100","4278","4283"
"222.124.177.148","7497","elite","AS7713","ID","Telekomunikasi Indonesia","294","PT. TELKOM INDONESIA","socks5","4811","86","2023-10-15T18:30:50.839Z","92","3997","4331"
"5.189.179.57","57238","elite","AS51167","DE","Contabo GmbH","90","Contabo GmbH","socks5","3299","86","2023-10-15T17:49:46.250Z","100","4401","4404"
"143.255.249.74","7497","elite","AS61468","EC","CEDIA","187","Universidad Tecnologica Israel","socks5","2394","86","2023-10-15T18:39:41.833Z","95","4132","4353"
"69.163.162.253","20676","elite","AS26347","US","New Dream Network, LLC","196","New Dream Network, LLC","socks5","4505","86","2023-10-15T18:28:09.585Z","100","4334","4338"
"187.103.74.137","5678","elite","AS52965","BR","1telecom Servicos De Tecnologia EM Internet Ltda","164","1telecom Servicos De Tecnologia EM Internet Ltda","socks4","4604","86","2023-10-15T17:59:55.639Z","96","4227","4403"
"104.23.125.117","80","elite","AS13335","CA","Cloudflare, Inc.","86","Cloudflare, Inc.","socks4","4903","85","2023-10-15T17:26:23.580Z","100","4277","4279"
"188.43.20.173","4153","elite","AS20485","RU","Joint Stock Company TransTeleCom","94","TTK PtP","socks4","3416","85","2023-10-15T18:41:45.244Z","99","4262","4299"
"103.49.242.193","5678","elite","AS133720","IN","Zess Networks Private Limited","192","Zess Networks Private Limited","socks4","4802","85","2023-10-15T18:37:22.178Z","98","4240","4320"
