"mark","model","mileage","transmission","registration","fuel","power","location","price"
Mercedes-Benz,G,"49000",Automatic,"10/2018",Diesel,"170",DE,22950
Lincoln,Continental,"13260",Automatic,"09/1977",Gasoline,"211",BE,13900
Mercedes-Benz,E 350,"235524",Automatic,"02/2010",Diesel,"231",DE,7950
BMW,i4,"15800",Automatic,"01/2022",Electric,"544",BE,74899
Land-Rover,Range Rover Evoque,"238000",Manual,"01/2014",Diesel,"150",BE,10950
Mercedes-Benz,C 180,"41145",Manual,"03/2021",Gasoline,"156",BE,24999
Porsche,"911","13812",Automatic,"04/2018",Gasoline,"700",DE,429900
Ferrari,F8 Spider,"16450",Automatic,"02/2021",Gasoline,"721",DE,329900
Infiniti,QX70,"188800",Automatic,"10/2015",Diesel,"238",DE,11890
Land-Rover,Range Rover Sport,"229846",Automatic,"07/2011",Diesel,"245",BE,11450
McLaren,Senna,"751",Automatic,"05/2019",Gasoline,"799",DE,1279900
BMW,M6,"85000",Automatic,"08/2008",Gasoline,"507",DE,29990
Porsche,"992","199",Manual,"03/2023",Gasoline,"551",DE,449900
Kia,Stinger,"37897",Automatic,"08/2020",Gasoline,"366",DE,39980
Mercedes-Benz,CLA 35 AMG,"60057",Automatic,"11/2019",Gasoline,"306",BE,46950
Land-Rover,Range Rover Sport,"318000",Automatic,"01/2010",Diesel,"245",IT,9300
BMW,"116","135000",Manual,"01/2016",Diesel,"95",BE,12490
Mercedes-Benz,C 200,"160000",Manual,"11/2016",Diesel,"136",DE,12850
Audi,A6,"157250",Automatic,"06/2018",Diesel,"190",BE,19500
Cupra,Formentor,"37698",Automatic,"12/2021",Gasoline,"150",BE,29950
BMW,iX,"34800",Automatic,"12/2022",Electric,"522",AT,94450
BMW,Z3,"216678",Manual,"08/1996",Gasoline,"116",BE,5900
BMW,"750","243883",Automatic,"01/2018",Gasoline,"449",DE,30990
BMW,"118","234000",Manual,"04/2014",Diesel,"143",IT,6900
BMW,"530","440000",Automatic,"09/2017",Diesel,"249",IT,14900
Audi,TT RS,"1573",Automatic,"03/2023",Gasoline,"400",DE,99900
Bentley,Flying Spur,"41700",Automatic,"07/2013",Gasoline,"625",BE,88900
Mazda,"2","74715",Manual,"10/2014",Gasoline,"84",BE,7850
Audi,A3,"45573",Automatic,"04/2021",Diesel,"116",BE,28950
Mercedes-Benz,E 63 AMG,"62200",Automatic,"03/2020",Gasoline,"612",DE,86900
Land-Rover,Discovery Sport,"120900",Automatic,"10/2015",Diesel,"150",DE,18990
Porsche,"991","69000",Automatic,"02/2015",Gasoline,"475",BE,132911
